YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1949,999.90,999.90,999.90,999.90,999.90,999.90,29.27,28.61,26.66,20.82,16.50,12.12,999.90,999.90,28.41,21.33,999.90
1950,12.79,12.97,14.90,18.34,24.59,27.18,29.09,28.96,25.71,22.75,14.92,10.76,12.63,19.28,28.41,21.13,20.36
1951,9.27,11.63,15.87,19.55,23.89,28.03,30.62,31.19,26.64,21.88,13.31,11.93,10.55,19.77,29.95,20.61,20.22
1952,14.48,14.12,14.49,17.97,22.66,27.59,28.88,30.64,25.71,18.23,13.55,9.92,13.51,18.37,29.04,19.16,20.02
1953,12.67,10.95,18.27,19.12,23.79,29.66,30.03,29.48,26.17,999.90,13.69,8.81,11.18,20.39,29.72,20.04,20.33
1954,10.43,14.49,14.56,22.32,23.03,28.73,30.61,30.42,27.80,22.32,14.89,13.22,11.24,19.97,29.92,21.67,20.70
1955,10.36,11.62,16.19,22.27,25.55,26.46,29.05,28.75,27.10,21.21,14.22,10.62,11.73,21.34,28.09,20.84,20.50
1956,9.70,12.66,15.59,20.06,25.74,28.96,30.43,29.88,27.30,22.78,13.33,12.81,10.99,20.46,29.76,21.14,20.59
1957,9.45,15.66,14.98,18.73,23.07,27.32,30.39,29.95,24.79,18.09,12.44,12.64,12.64,18.93,29.22,18.44,19.81
1958,8.48,8.47,11.75,18.96,24.19,28.42,29.93,29.93,26.19,19.47,15.35,8.75,9.86,18.30,29.43,20.34,19.48
1959,8.01,10.95,14.73,17.95,24.73,27.89,28.72,28.14,26.37,20.34,10.30,11.22,9.24,19.14,28.25,19.00,18.91
1960,8.78,8.14,11.61,20.33,22.80,28.29,29.01,28.22,25.78,21.46,15.01,8.49,9.38,18.25,28.51,20.75,19.22
1961,6.87,11.93,16.88,19.35,24.45,26.15,27.16,26.74,25.02,20.79,12.67,10.55,9.10,20.23,26.68,19.49,18.88
1962,6.62,15.55,13.46,19.87,25.05,27.43,30.16,30.97,26.32,22.61,14.40,9.77,10.91,19.46,29.52,21.11,20.25
1963,5.69,10.06,17.13,22.31,25.02,28.61,29.96,29.68,27.07,22.84,15.82,6.40,8.51,21.49,29.42,21.91,20.33
1964,9.68,8.67,15.37,21.18,25.35,27.82,29.67,30.30,26.62,18.84,16.23,10.79,8.25,20.63,29.26,20.56,19.68
1965,11.04,9.06,11.11,21.42,23.95,27.21,29.46,28.81,26.59,19.00,17.64,12.58,10.30,18.83,28.49,21.08,19.67
1966,6.76,9.07,15.00,20.32,23.27,26.59,29.23,27.96,25.37,19.61,17.20,9.92,9.47,19.53,27.93,20.73,19.41
1967,10.24,10.52,18.82,24.03,23.94,28.60,29.63,28.20,24.08,19.74,14.79,9.60,10.23,22.26,28.81,19.54,20.21
1968,8.58,8.20,13.42,20.05,23.99,26.39,27.53,28.64,24.11,21.80,12.96,10.09,8.79,19.15,27.52,19.62,18.77
1969,11.57,10.92,11.51,19.89,22.62,26.78,30.17,29.22,27.60,20.45,13.96,12.45,10.86,18.01,28.72,20.67,19.57
1970,7.01,11.76,13.05,20.40,22.50,27.15,28.86,29.66,26.01,18.87,13.76,14.61,10.41,18.65,28.56,19.55,19.29
1971,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1972,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1973,8.09,10.16,17.80,17.75,23.19,25.86,27.87,27.08,26.26,22.01,19.06,12.04,9.22,19.58,26.94,22.44,19.54
1974,9.52,14.08,19.15,19.81,24.79,26.38,29.44,27.66,23.46,21.40,14.31,10.63,11.88,21.25,27.83,19.72,20.17
1975,12.34,11.57,16.00,20.02,23.24,26.65,27.64,27.51,24.24,20.85,15.87,11.05,11.51,19.75,27.27,20.32,19.71
1976,10.02,16.07,17.30,20.07,21.71,26.39,26.76,28.02,24.57,15.78,9.81,8.99,12.38,19.69,27.06,16.72,18.96
1977,6.33,12.35,16.05,19.02,24.15,27.08,28.58,29.58,27.96,21.67,16.10,12.10,9.22,19.74,28.41,21.91,19.82
1978,5.09,6.81,14.37,20.60,25.06,27.46,30.17,29.05,25.71,20.25,15.99,10.05,8.00,20.01,28.89,20.65,19.39
1979,5.19,9.64,15.77,19.83,21.97,26.82,28.74,27.88,24.71,22.25,12.87,10.90,8.29,19.19,27.81,19.94,18.81
1980,10.39,11.25,15.61,18.53,23.78,28.87,30.72,29.48,27.26,20.06,13.67,11.95,10.85,19.31,29.69,20.33,20.04
1981,9.95,12.24,14.94,21.75,23.48,26.57,27.85,27.46,24.80,21.43,16.77,11.94,11.38,20.06,27.29,21.00,19.93
1982,10.92,9.71,17.01,19.73,23.35,27.13,29.60,29.78,26.32,20.15,14.61,11.68,10.86,20.03,28.84,20.36,20.02
1983,9.05,11.23,14.05,18.03,22.95,25.71,27.88,28.45,25.15,21.08,17.23,5.33,10.65,18.34,27.35,21.15,19.37
1984,7.18,12.73,17.17,20.77,24.23,26.10,28.66,29.64,25.95,21.43,15.22,15.08,8.41,20.72,28.13,20.87,19.53
1985,6.41,8.60,16.74,20.93,24.88,27.45,28.02,30.83,27.15,21.97,16.47,8.96,10.03,20.85,28.77,21.86,20.38
1986,10.94,13.92,16.40,22.12,22.64,26.67,29.23,28.85,27.02,19.62,14.50,10.21,11.27,20.39,28.25,20.38,20.07
1987,9.72,12.60,13.49,18.73,24.02,26.16,28.00,29.09,25.46,20.40,14.89,11.24,10.84,18.75,27.75,20.25,19.40
1988,8.02,11.60,15.34,19.41,22.92,26.16,28.21,29.32,26.80,21.48,17.82,12.50,10.29,19.22,27.90,22.03,19.86
1989,12.59,10.03,15.59,19.60,24.36,26.55,29.40,28.74,25.28,21.50,16.58,6.88,11.71,19.85,28.23,21.12,20.23
1990,13.43,13.88,15.15,19.66,24.34,28.71,27.94,29.24,26.33,20.30,16.51,10.09,11.40,19.72,28.63,21.05,20.20
1991,8.21,13.03,17.08,21.32,24.47,27.11,28.07,28.61,24.42,21.78,13.16,11.54,10.44,20.96,27.93,19.79,19.78
1992,9.46,13.62,16.45,19.49,22.09,27.02,28.23,26.96,25.94,21.62,12.49,11.52,11.54,19.34,27.40,20.02,19.58
1993,8.75,10.44,14.88,17.93,21.84,26.75,29.00,30.12,26.96,20.19,12.30,11.61,10.24,18.22,28.62,19.82,19.22
1994,9.52,11.02,16.27,19.70,23.13,28.02,29.85,999.90,999.90,999.90,999.90,999.90,10.72,19.70,29.24,999.90,20.11
1995,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1996,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1997,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1998,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1999,999.90,15.11,15.88,22.50,25.10,27.67,28.14,30.20,26.33,20.23,16.45,11.64,999.90,21.16,28.67,21.00,20.52
2000,11.80,15.65,18.03,19.98,25.87,27.62,29.92,29.80,26.87,21.92,13.21,6.98,13.03,21.29,29.11,20.67,21.03
2001,8.40,12.89,12.03,21.24,24.48,27.42,29.61,28.78,24.50,18.99,16.46,11.39,9.42,19.25,28.60,19.98,19.32
2002,11.22,9.24,14.77,23.06,25.07,27.87,28.01,29.20,26.00,20.72,13.02,10.72,10.62,20.97,28.36,19.91,19.96
2003,8.92,10.19,14.25,20.58,26.39,27.37,28.05,29.14,24.75,21.08,17.09,11.19,9.94,20.41,28.19,20.97,19.88
2004,11.34,9.73,18.28,19.24,24.07,26.59,27.72,27.82,25.85,23.99,15.04,10.11,10.75,20.53,27.38,21.63,20.07
2005,12.31,13.12,15.14,19.37,23.77,28.29,29.31,29.40,29.05,21.00,17.31,10.14,11.85,19.43,29.00,22.45,20.68
2006,13.30,11.71,18.14,23.55,24.90,27.53,29.21,30.46,26.00,21.55,16.42,11.54,11.72,22.20,29.07,21.32,21.08
2007,8.10,11.18,17.50,17.47,23.75,26.87,26.85,28.74,26.39,21.58,15.98,11.61,10.27,19.57,27.49,21.32,19.66
2008,9.01,13.48,16.20,19.75,25.28,30.13,29.11,29.61,25.92,20.62,15.89,11.18,11.37,20.41,29.62,20.81,20.55
2009,10.75,15.31,17.28,20.21,25.24,29.55,31.44,30.88,25.60,20.31,15.07,8.29,12.41,20.91,30.62,20.33,21.07
2010,8.41,8.16,14.03,20.04,25.69,28.97,29.38,30.84,27.13,20.31,15.81,11.16,8.29,19.92,29.73,21.08,19.76
2011,8.74,12.12,18.28,23.65,25.09,30.06,30.50,31.71,27.22,20.64,16.26,11.17,10.67,22.34,30.76,21.37,21.29
2012,11.66,13.58,18.64,22.48,25.46,28.87,29.16,29.81,25.82,20.76,16.31,13.04,12.14,22.19,29.28,20.96,21.14
2013,10.89,13.72,15.56,18.99,23.93,29.13,29.43,30.28,27.42,21.37,13.96,9.00,12.55,19.49,29.61,20.92,20.64
2014,8.39,11.54,14.14,19.76,23.18,28.07,28.61,30.05,26.76,22.39,12.66,12.24,9.64,19.03,28.91,20.60,19.55
2015,8.23,9.98,14.96,21.26,23.76,26.51,28.81,29.41,27.36,22.56,16.13,12.88,10.15,19.99,28.24,22.02,20.10
2016,9.68,13.68,17.53,20.08,23.08,27.78,30.23,28.33,26.93,22.93,18.08,12.72,12.08,20.23,28.78,22.65,20.93
2017,13.02,17.62,19.67,21.52,24.17,28.62,30.52,29.17,25.72,20.37,17.72,10.27,14.45,21.79,29.44,21.27,21.74
2018,8.12,13.07,18.17,18.27,26.22,29.67,30.12,30.42,26.92,20.92,13.27,11.41,10.49,20.89,30.07,20.37,20.45
2019,10.06,13.36,14.81,20.16,25.21,27.96,29.01,30.66,29.61,20.96,13.76,11.46,11.61,20.06,29.21,21.44,20.58
2020,12.71,11.36,19.71,19.61,24.51,27.51,30.26,30.61,25.01,20.96,17.36,11.40,11.84,21.28,29.46,21.11,20.92
2021,11.30,8.55,17.05,18.40,22.45,26.80,27.10,27.90,26.05,21.90,14.65,17.10,10.42,19.30,27.27,20.87,19.46
2022,8.45,8.25,14.60,21.50,26.70,29.50,30.95,29.80,999.90,999.90,999.90,999.90,11.27,20.93,30.08,999.90,20.98
