YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1936,-1.95,-4.94,5.58,7.54,16.07,19.31,21.90,21.13,17.17,12.65,4.34,1.76,-2.67,9.73,20.78,11.39,9.81
1937,3.12,0.80,1.30,7.50,15.19,19.24,23.03,23.77,17.31,11.60,6.77,-0.35,1.89,8.00,22.01,11.89,10.95
1938,-2.15,-0.72,4.01,9.37,13.28,19.66,22.16,23.18,16.87,13.43,8.06,1.12,-1.07,8.89,21.67,12.79,10.57
1939,-2.24,0.26,0.62,6.55,13.60,18.73,22.41,23.27,18.09,12.32,4.89,0.79,-0.29,6.92,21.47,11.77,9.97
1940,-5.01,-1.34,0.62,6.42,13.48,18.39,21.96,20.25,17.38,10.31,6.05,1.24,-1.85,6.84,20.20,11.25,9.11
1941,-3.76,-1.51,0.72,10.83,15.43,20.04,21.86,21.39,18.85,13.25,8.84,1.68,-1.34,8.99,21.10,13.65,10.60
1942,-1.99,-2.72,4.80,9.77,15.88,19.59,21.65,21.42,18.00,13.16,6.31,-2.03,-1.01,10.15,20.89,12.49,10.63
1943,-3.75,-0.92,2.08,6.19,14.08,21.61,23.25,21.52,17.07,11.98,6.17,-1.54,-2.23,7.45,22.13,11.74,9.77
1944,-0.75,-1.49,1.00,6.87,17.17,19.28,23.08,23.56,18.18,11.91,6.05,-0.85,-1.26,8.35,21.97,12.05,10.28
1945,-4.79,-1.02,7.77,11.18,12.65,18.99,21.95,21.31,19.28,11.52,7.32,-2.18,-2.22,10.53,20.75,12.71,10.44
1946,-2.27,-2.67,8.19,7.61,14.21,19.49,21.34,19.63,18.58,14.41,8.56,1.25,-2.37,10.00,20.15,13.85,10.41
1947,0.04,-1.63,2.87,8.13,13.57,18.25,23.24,22.57,17.90,16.14,4.83,-1.16,-0.11,8.19,21.35,12.96,10.60
1948,-5.09,-3.13,3.04,8.58,12.47,17.28,23.32,22.87,18.43,12.08,9.51,2.08,-3.13,8.03,21.16,13.34,9.85
1949,1.18,1.05,3.68,10.17,15.45,21.69,24.29,23.27,17.04,14.34,6.11,2.36,1.44,9.77,23.08,12.50,11.70
1950,2.03,-2.54,0.63,7.85,12.89,20.28,22.76,21.27,16.07,13.21,8.45,1.65,0.62,7.12,21.44,12.58,10.44
1951,0.79,1.19,3.60,10.22,14.73,18.57,23.00,21.16,18.31,12.33,5.56,1.33,1.21,9.52,20.91,12.07,10.93
1952,0.00,-0.04,2.54,9.93,13.67,21.14,24.95,22.04,18.75,11.33,6.83,1.70,0.43,8.71,22.71,12.30,11.04
1953,1.18,1.34,3.58,9.07,14.34,21.05,22.55,21.88,18.74,13.10,8.87,4.19,1.41,9.00,21.83,13.57,11.45
1954,-3.70,2.10,3.43,9.71,13.16,18.88,21.95,20.84,16.99,14.45,6.54,0.96,0.86,8.77,20.56,12.66,10.71
1955,-2.29,-0.34,2.77,9.21,16.74,18.99,24.75,23.28,17.68,12.51,5.15,-3.34,-0.56,9.57,22.34,11.78,10.78
1956,-1.11,-0.06,0.50,7.18,12.68,20.15,21.71,21.79,15.83,12.07,7.48,1.86,-1.50,6.79,21.22,11.79,9.57
1957,-5.15,1.12,3.55,9.29,15.11,21.47,23.03,20.38,19.24,12.17,8.04,4.05,-0.72,9.32,21.63,13.15,10.84
1958,-0.94,-3.98,3.56,8.94,13.28,17.36,22.08,22.06,17.73,11.10,7.71,-3.51,-0.29,8.59,20.50,12.18,10.25
1959,-2.19,-3.31,2.38,9.02,16.62,17.75,23.33,23.01,19.68,12.42,6.52,2.00,-3.00,9.34,21.36,12.87,10.14
1960,-0.97,1.44,0.02,8.69,15.01,20.50,22.46,21.98,17.25,11.77,8.51,-1.80,0.82,7.91,21.65,12.51,10.72
1961,-4.29,-0.62,2.28,6.97,13.11,20.12,21.91,22.10,20.12,13.64,6.63,0.05,-2.24,7.45,21.38,13.46,10.01
1962,-2.23,-3.32,3.20,9.24,13.60,19.82,20.90,20.68,16.79,11.89,4.97,-1.49,-1.83,8.68,20.47,11.22,9.63
1963,-1.81,-3.77,3.52,8.98,14.83,20.40,23.31,20.94,15.62,15.14,8.63,-3.83,-2.36,9.11,21.55,13.13,10.36
1964,-0.33,-1.79,3.54,7.68,15.53,19.29,21.77,18.96,16.50,11.22,6.53,0.05,-1.98,8.92,20.01,11.42,9.59
1965,-3.86,-2.43,1.92,6.58,15.08,19.47,21.49,21.19,16.77,11.37,5.46,2.10,-2.08,7.86,20.72,11.20,9.42
1966,-1.95,-0.58,4.12,7.52,13.84,20.59,23.65,21.62,17.34,12.29,8.06,1.02,-0.14,8.49,21.95,12.56,10.72
1967,1.52,-3.30,0.46,6.98,10.73,19.34,22.54,21.38,16.85,11.90,4.30,1.44,-0.25,6.06,21.09,11.02,9.48
1968,-3.77,-3.51,3.75,9.61,13.18,18.05,23.82,21.32,18.10,14.17,6.35,-0.81,-1.95,8.85,21.06,12.87,10.21
1969,-1.70,-1.60,1.69,10.16,14.50,20.53,21.44,23.29,17.42,12.19,6.95,0.56,-1.37,8.78,21.75,12.19,10.34
1970,-5.19,-0.05,2.79,9.24,15.12,19.24,23.26,22.89,18.46,12.53,6.91,-1.95,-1.56,9.05,21.80,12.63,10.48
1971,-4.80,-1.08,2.39,7.03,12.94,20.40,22.79,22.79,19.74,15.21,5.93,2.14,-2.61,7.45,21.99,13.63,10.12
1972,0.30,-1.54,2.17,6.95,13.98,18.32,22.95,21.70,18.49,10.75,5.49,0.33,0.30,7.70,20.99,11.58,10.14
1973,-0.54,-1.29,6.04,9.70,13.65,20.88,23.24,23.55,17.75,12.86,7.43,3.96,-0.50,9.80,22.56,12.68,11.13
1974,-0.37,-1.82,3.47,10.23,12.37,17.99,22.21,21.99,17.34,9.78,7.15,2.35,0.59,8.69,20.73,11.42,10.36
1975,0.77,-0.82,1.86,6.44,15.51,18.87,23.53,21.87,16.85,13.19,10.15,0.47,0.77,7.94,21.42,13.40,10.88
1976,-4.10,2.09,4.22,11.97,14.83,22.13,21.88,21.33,17.41,10.43,4.64,-2.53,-0.51,10.34,21.78,10.83,10.61
1977,-5.73,-1.56,6.19,9.89,16.17,18.81,22.98,22.13,17.15,12.07,8.09,0.37,-3.27,10.75,21.31,12.44,10.30
1978,-2.84,-3.61,1.44,8.46,14.30,19.79,21.93,21.67,16.02,11.05,6.08,1.49,-2.03,8.07,21.13,11.05,9.55
1979,-0.08,-5.28,5.48,8.94,15.86,19.77,23.29,21.71,17.95,11.13,8.88,2.24,-1.29,10.09,21.59,12.65,10.76
1980,-1.77,-2.66,2.35,8.95,14.88,18.73,24.00,23.09,19.07,10.97,4.79,-2.23,-0.73,8.73,21.94,11.61,10.39
1981,-6.21,2.10,3.59,10.59,15.45,21.15,23.30,21.89,17.23,10.31,6.24,0.30,-2.11,9.88,22.11,11.26,10.28
1982,-5.41,-1.00,3.33,8.62,13.98,17.04,23.44,20.91,17.45,11.96,8.33,3.82,-2.04,8.64,20.46,12.58,9.91
1983,-0.79,0.08,4.41,9.13,14.17,21.16,25.18,22.77,21.08,12.50,7.45,-0.30,1.04,9.24,23.04,13.68,11.75
1984,-3.34,2.72,-0.46,7.44,14.08,21.00,23.34,23.29,16.34,11.44,6.60,3.81,-0.31,7.02,22.54,11.46,10.18
1985,-4.63,0.06,4.27,9.35,14.92,18.02,22.84,21.09,18.33,12.77,7.24,-0.62,-0.25,9.51,20.65,12.78,10.67
1986,-0.57,-1.99,4.59,8.86,14.44,18.69,21.42,21.15,17.12,11.97,5.47,1.73,-1.06,9.30,20.42,11.52,10.04
1987,-1.95,-1.83,3.36,7.03,13.74,18.18,21.80,21.03,18.31,12.13,6.34,2.03,-0.68,8.04,20.34,12.26,9.99
1988,-2.59,-0.17,3.73,7.98,13.98,20.04,22.91,23.91,17.86,10.21,7.90,0.18,-0.24,8.56,22.29,11.99,10.65
1989,1.15,-1.06,2.68,7.50,14.94,19.67,22.39,21.75,17.90,12.67,5.71,-5.98,0.09,8.37,21.27,12.09,10.46
1990,2.17,0.93,4.26,8.43,12.46,18.94,22.58,22.68,17.85,14.35,8.93,4.58,-0.96,8.38,21.40,13.71,10.63
1991,-1.71,1.98,5.03,10.45,17.10,20.83,23.38,22.92,17.33,13.26,7.06,1.90,1.62,10.86,22.38,12.55,11.85
1992,-0.82,-0.05,1.61,7.70,12.80,19.58,20.54,21.04,17.45,11.08,5.76,1.29,0.34,7.37,20.39,11.43,9.88
1993,-0.04,-2.99,2.17,8.79,15.45,20.52,23.45,22.81,17.94,11.00,7.29,0.94,-0.58,8.80,22.26,12.08,10.64
1994,-5.71,-3.10,3.12,10.49,14.37,21.86,24.97,22.17,17.60,12.76,9.13,3.33,-2.62,9.33,23.00,13.16,10.72
1995,1.14,-2.26,3.49,7.51,13.72,20.05,24.08,22.37,17.00,14.35,5.20,-0.47,0.74,8.24,22.17,12.18,10.83
1996,-1.34,-0.90,2.22,9.03,14.26,20.23,22.31,21.78,18.02,11.97,4.78,4.18,-0.90,8.50,21.44,11.59,10.16
1997,-1.37,2.40,2.79,8.13,13.55,20.25,23.30,21.90,18.06,11.72,5.52,1.93,1.74,8.16,21.82,11.77,10.87
1998,1.24,1.94,5.44,9.85,15.92,18.30,23.69,22.65,19.21,12.62,7.15,4.11,1.70,10.40,21.55,12.99,11.66
1999,-1.22,1.04,4.24,9.71,14.70,21.80,24.43,22.00,19.63,11.83,9.04,3.10,1.31,9.55,22.74,13.50,11.78
2000,-2.35,1.35,6.43,8.66,14.15,19.77,21.22,21.40,17.65,12.30,6.70,-1.42,0.70,9.75,20.80,12.22,10.86
2001,-1.00,-0.02,1.96,9.41,15.44,21.85,21.19,23.41,18.62,13.58,9.18,4.88,-0.81,8.94,22.15,13.79,11.02
2002,2.74,2.54,4.70,9.97,14.41,19.29,24.11,24.14,20.33,11.44,6.22,0.76,3.39,9.69,22.51,12.66,12.06
2003,-4.28,-3.02,3.27,7.04,12.94,18.67,23.62,23.60,18.86,11.79,7.83,2.36,-2.18,7.75,21.96,12.83,10.09
2004,-6.17,0.68,4.21,9.83,15.02,19.28,21.79,22.38,18.58,12.23,6.97,1.77,-1.04,9.69,21.15,12.59,10.60
2005,-2.81,-0.37,1.91,9.95,11.34,20.31,23.03,23.66,20.04,12.72,7.82,0.36,-0.47,7.73,22.33,13.53,10.78
2006,2.61,-0.47,3.81,10.01,14.00,20.17,24.52,22.01,18.21,12.48,9.61,5.10,0.83,9.27,22.23,13.43,11.44
2007,0.50,-3.16,3.12,7.42,16.42,20.38,22.82,22.70,19.90,15.21,6.23,0.31,0.81,8.99,21.97,13.78,11.39
2008,0.88,0.39,3.56,9.73,14.38,21.37,24.00,21.22,18.58,11.95,6.42,2.12,0.53,9.22,22.20,12.32,11.07
2009,-3.87,0.59,3.12,10.39,15.38,17.49,21.49,23.21,17.43,11.11,9.44,0.72,-0.39,9.63,20.73,12.66,10.66
2010,-1.26,0.73,6.67,11.75,17.19,21.37,25.19,23.09,20.43,13.18,7.18,0.45,0.06,11.87,23.22,13.60,12.19
2011,-2.37,-0.74,3.92,10.14,15.20,19.57,25.25,23.35,19.68,14.26,10.29,4.52,-0.89,9.75,22.72,14.74,11.58
2012,1.26,3.04,8.21,11.80,15.78,19.37,24.14,23.75,18.26,13.66,5.68,3.63,2.94,11.93,22.42,12.53,12.46
2013,-0.20,-0.43,3.23,9.45,14.96,20.94,25.10,22.36,18.22,13.75,6.02,0.81,1.00,9.21,22.80,12.66,11.42
2014,-2.41,-1.57,0.91,9.02,14.89,20.25,23.42,21.61,19.07,13.58,5.90,3.52,-1.06,8.27,21.76,12.85,10.46
2015,-3.18,-7.09,0.77,8.94,16.87,18.15,23.30,23.75,20.70,12.25,9.30,7.39,-2.25,8.86,21.73,14.08,10.61
2016,0.39,1.54,5.89,8.44,14.84,20.29,24.54,24.74,19.74,12.99,7.94,1.88,3.11,9.72,23.19,13.56,12.39
2017,1.78,2.63,1.18,10.93,13.58,20.88,22.53,22.23,19.58,16.33,6.53,-0.72,2.10,8.56,21.88,14.15,11.67
2018,-1.82,3.43,2.98,7.43,16.78,19.83,24.53,999.90,999.90,999.90,999.90,999.90,0.30,9.06,22.46,999.90,11.24
2019,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
2020,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
2021,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,15.46,7.06,4.00,999.90,999.90,999.90,14.04,999.90
2022,-2.50,0.70,5.20,10.05,15.85,19.95,25.30,24.85,999.90,999.90,999.90,999.90,0.73,10.37,23.37,999.90,12.12
