YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1880,4.92,3.54,2.96,10.87,21.18,23.91,24.82,23.64,20.43,13.01,4.11,-2.75,4.95,11.67,24.12,12.52,13.32
1881,-3.54,-1.85,3.67,9.40,17.94,19.60,24.26,24.09,23.87,15.07,7.52,4.56,-2.71,10.34,22.65,15.49,11.44
1882,-1.40,2.23,5.40,9.71,14.82,23.25,25.39,23.96,20.29,14.90,4.30,0.17,1.80,9.98,24.20,13.16,12.28
1883,-2.97,-0.42,1.10,9.61,17.09,24.24,24.65,21.96,17.61,11.84,6.86,1.11,-1.07,9.27,23.62,12.10,10.98
1884,-4.07,1.22,3.72,9.79,17.07,22.62,23.39,24.18,23.06,14.70,7.68,1.65,-0.58,10.19,23.40,15.15,12.04
1885,-0.99,-4.65,-0.56,10.41,15.94,22.11,26.57,23.27,18.63,12.66,7.37,2.38,-1.33,8.60,23.98,12.89,11.03
1886,-2.16,-1.26,4.09,13.29,16.92,21.58,25.05,22.13,19.54,13.64,7.27,-0.49,-0.35,11.43,22.92,13.48,11.87
1887,-1.19,0.40,0.69,9.07,19.40,22.46,27.18,22.35,17.41,12.01,6.07,1.05,-0.43,9.72,24.00,11.83,11.28
1888,-4.63,-1.00,-0.46,8.68,15.44,23.04,22.70,23.64,18.08,10.11,7.88,2.90,-1.53,7.89,23.13,12.02,10.38
1889,2.73,-1.30,5.24,11.29,18.60,22.61,24.41,22.55,19.45,10.38,7.68,5.56,1.44,11.71,23.19,12.50,12.21
1890,3.70,4.27,2.32,10.93,16.81,22.58,24.13,23.94,20.83,13.26,7.82,-0.40,4.51,10.02,23.55,13.97,13.01
1891,1.65,2.77,3.44,10.76,15.78,23.07,23.33,24.96,22.89,13.15,6.68,6.51,1.34,9.99,23.79,14.24,12.34
1892,-0.07,1.08,1.54,9.54,15.87,24.16,25.13,24.21,18.69,12.16,6.05,0.21,2.51,8.98,24.50,12.30,12.07
1893,-4.72,-0.95,2.45,8.96,14.90,20.87,24.01,23.90,17.85,13.52,6.16,1.80,-1.82,8.77,22.93,12.51,10.60
1894,1.11,-2.38,6.39,10.12,16.98,22.52,24.62,22.11,20.95,13.42,4.99,3.26,0.18,11.16,23.08,13.12,11.89
1895,-1.28,-4.36,2.51,9.41,17.60,23.25,22.64,24.24,21.51,10.84,8.60,3.12,-0.79,9.84,23.38,13.65,11.52
1896,-1.68,-1.36,-0.08,11.54,19.70,21.13,24.71,24.39,19.53,11.50,8.72,0.96,0.03,10.39,23.41,13.25,11.77
1897,-1.61,0.02,4.34,10.24,16.15,19.74,25.14,22.86,19.15,13.28,6.65,3.28,-0.21,10.24,22.58,13.03,11.41
