YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1880,1.95,-0.05,2.85,11.55,21.85,23.85,25.95,24.85,18.05,10.35,-2.55,-7.05,1.47,12.08,24.88,8.62,11.76
1881,-10.65,-7.25,-1.75,7.85,20.95,24.85,27.15,27.95,19.85,13.25,3.35,2.75,-8.32,9.02,26.65,12.15,9.88
1882,-1.95,2.95,5.25,12.05,14.75,22.75,23.15,23.95,20.65,14.85,4.85,-3.54,1.25,10.68,23.28,13.45,12.17
1883,-10.65,-5.15,2.15,12.95,15.05,21.65,25.35,22.95,16.95,10.45,4.55,-1.36,-6.45,10.05,23.32,10.65,9.39
1884,-7.75,-6.46,2.54,9.54,16.84,22.84,24.14,21.84,20.64,14.24,4.04,-8.26,-5.19,9.64,22.94,12.97,10.09
1885,-11.06,-8.66,2.34,10.34,15.84,22.14,25.44,21.64,18.34,10.14,4.34,-1.96,-9.33,9.51,23.07,10.94,8.55
1886,-13.76,-4.26,0.04,10.84,18.84,21.64,25.64,24.74,18.84,14.84,1.24,-7.86,-6.66,9.91,24.01,11.64,9.72
1887,-11.26,-7.76,3.44,12.84,19.34,22.84,25.14,22.74,18.84,10.64,4.24,-4.77,-8.96,11.87,23.57,11.24,9.43
1888,-13.37,-3.47,-1.67,11.73,13.73,21.53,26.33,22.33,17.63,10.43,4.03,0.03,-7.20,7.93,23.40,10.70,8.71
1889,-4.66,-5.17,5.73,12.23,17.03,20.93,23.93,23.23,17.43,10.93,1.63,3.93,-3.27,11.66,22.70,10.00,10.27
1890,-7.87,-3.87,0.23,12.83,15.73,23.63,26.13,21.63,16.93,10.93,5.43,1.33,-2.60,9.60,23.80,11.10,10.47
1891,-1.57,-6.97,-2.06,12.23,15.33,20.83,21.93,22.23,20.93,11.53,0.93,1.42,-2.40,8.50,21.66,11.13,9.72
1892,-7.88,-1.48,1.12,8.92,12.42,21.92,24.62,22.92,19.92,13.82,3.12,-5.88,-2.65,7.49,23.15,12.29,10.07
1893,-9.08,-7.08,0.72,9.12,15.12,22.92,24.92,21.82,20.12,12.72,2.42,-3.08,-7.35,8.32,23.22,11.75,8.99
1894,-6.58,-5.88,5.92,12.22,18.22,23.42,25.32,25.32,19.42,12.52,2.52,0.52,-5.18,12.12,24.69,11.49,10.78
1895,-7.68,-5.78,2.82,14.42,17.92,21.42,23.62,23.42,21.62,9.92,2.42,-1.59,-4.31,11.72,22.82,11.32,10.39
1896,-2.79,0.21,-0.39,13.71,19.41,22.31,23.81,23.21,16.31,10.61,-1.39,1.61,-1.39,10.91,23.11,8.51,10.29
1897,-6.39,-2.79,1.31,10.21,16.61,22.41,26.11,22.01,23.81,14.81,2.21,-5.79,-2.52,9.38,23.51,13.61,10.99
1898,-2.29,-1.29,3.81,10.61,16.31,23.31,24.21,24.61,20.01,9.71,1.41,-5.69,-3.12,10.24,24.04,10.38,10.38
1899,-4.09,-9.79,-3.09,10.31,16.91,22.31,24.01,24.81,18.91,15.11,7.91,-3.69,-6.52,8.04,23.71,13.98,9.80
1900,-1.59,-8.09,2.11,13.11,19.11,22.71,24.41,26.01,19.21,16.21,2.51,-0.10,-4.46,11.44,24.38,12.64,11.00
1901,-2.60,-5.30,2.60,11.10,17.10,23.80,29.60,24.70,18.40,14.10,4.30,-4.80,-2.67,10.27,26.03,12.27,11.47
1902,-3.20,-6.10,5.30,11.20,18.90,19.70,23.90,22.30,16.50,13.90,4.90,-6.00,-4.70,11.80,21.97,11.77,10.21
1903,-2.90,-6.20,4.10,11.50,17.20,19.80,24.80,21.90,17.10,13.30,3.10,-3.50,-5.03,10.93,22.17,11.17,9.81
1904,-7.00,-6.90,3.30,7.60,16.70,20.70,22.90,22.30,18.90,13.40,6.80,-2.71,-5.80,9.20,21.97,13.03,9.60
1905,-10.11,-8.51,7.39,9.79,15.69,22.39,22.69,25.19,20.29,10.69,5.59,-0.41,-7.11,10.96,23.42,12.19,9.87
1906,-1.21,-2.21,-2.10,12.89,17.29,21.39,22.69,24.19,20.19,11.29,3.09,-1.81,-1.28,9.36,22.76,11.52,10.59
