YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1880,12.10,11.20,12.00,14.50,16.80,18.20,18.40,19.70,18.10,17.10,14.20,14.60,11.73,14.43,18.77,16.47,15.35
1881,12.30,14.00,13.20,16.90,17.80,18.80,20.50,21.10,20.10,17.20,14.60,13.50,13.63,15.97,20.13,17.30,16.76
1882,11.00,11.50,13.70,14.60,17.60,18.90,20.20,22.20,20.20,17.50,14.70,13.90,12.00,15.30,20.43,17.47,16.30
1883,12.60,13.00,15.00,15.00,16.80,20.20,21.30,21.50,21.80,17.30,15.60,14.90,13.17,15.60,21.00,18.23,17.00
1884,13.50,14.10,14.50,15.10,17.30,19.00,21.20,21.80,19.20,17.10,15.60,13.20,14.17,15.63,20.67,17.30,16.94
1885,13.00,13.80,16.20,17.60,18.30,18.90,20.70,23.10,20.80,18.60,16.10,14.70,13.33,17.37,20.90,18.50,17.52
1886,14.00,15.50,13.60,14.90,16.70,18.20,20.50,22.30,20.10,16.20,14.10,14.10,14.73,15.07,20.33,16.80,16.73
1887,13.10,12.40,14.80,15.90,17.70,19.10,20.10,20.00,19.60,18.90,15.90,13.30,13.20,16.13,19.73,18.13,16.80
1888,11.60,13.50,14.10,16.90,17.20,19.80,20.90,21.30,21.70,19.10,16.10,15.10,12.80,16.07,20.67,18.97,17.12
1889,13.30,15.30,16.00,16.60,16.80,18.50,20.50,22.20,22.00,19.30,17.20,14.70,14.57,16.47,20.40,19.50,17.73
1890,11.20,13.20,14.50,15.60,16.60,18.60,21.00,21.70,21.30,18.80,18.20,16.60,13.03,15.57,20.43,19.43,17.12
1891,13.20,12.70,14.70,15.40,16.80,18.30,21.20,23.10,22.00,18.40,15.80,11.80,14.17,15.63,20.87,18.73,17.35
1892,13.50,13.60,14.20,15.20,17.00,17.40,19.00,20.60,19.30,17.80,16.60,12.90,12.97,15.47,19.00,17.90,16.33
1893,14.80,13.30,13.20,15.00,17.00,18.20,20.30,21.80,18.80,17.80,14.80,14.70,13.67,15.07,20.10,17.13,16.49
1894,10.40,11.10,12.30,14.40,15.60,17.10,18.90,20.10,19.60,17.80,14.50,13.19,12.07,14.10,18.70,17.30,15.54
1895,12.49,14.09,13.89,15.19,17.49,17.99,19.29,20.19,20.39,18.69,15.79,13.28,13.26,15.52,19.16,18.29,16.56
1896,13.68,15.08,15.48,14.48,17.48,18.98,20.98,21.48,19.98,18.58,15.98,15.58,14.01,15.81,20.48,18.18,17.12
1897,13.88,13.48,13.18,16.28,16.88,18.18,20.08,21.68,20.78,17.58,16.18,13.27,14.31,15.45,19.98,18.18,16.98
1898,11.07,13.67,13.37,15.87,15.67,18.37,19.97,22.07,20.97,17.57,15.77,14.17,12.67,14.97,20.14,18.10,16.47
1899,13.67,12.67,14.47,15.37,15.07,17.07,19.27,19.47,19.27,17.77,16.57,15.36,13.50,14.97,18.60,17.87,16.24
1900,14.96,15.06,15.96,14.56,16.86,18.66,20.46,19.66,19.36,17.96,18.66,16.26,15.13,15.79,19.59,18.66,17.29
1901,14.06,14.96,16.46,14.96,16.36,17.66,19.46,20.76,18.96,17.76,16.56,14.85,15.09,15.93,19.29,17.76,17.02
1902,14.15,13.45,13.55,14.75,16.45,17.45,19.15,19.95,19.65,17.65,15.15,13.75,14.15,14.92,18.85,17.48,16.35
1903,14.45,12.05,15.05,15.45,16.65,18.05,19.65,20.85,20.65,18.15,16.95,14.84,13.42,15.72,19.52,18.58,16.81
